Date,Price,High,Low,Close,,Volume
07-03-2023,1567.424683,1579.162231,1543.127563,1561.933105,,6854058349
08-03-2023,1561.977905,1568.175293,1534.088257,1534.088257,,7130327525
09-03-2023,1534.031616,1544.108398,1423.264771,1438.660767,,9457897583
10-03-2023,1438.760132,1438.760132,1378.525391,1429.158081,,12665194936
11-03-2023,1429.10083,1484.136963,1428.723145,1482.616699,,14917080154
12-03-2023,1482.431885,1607.152588,1461.610962,1590.292969,,11480965122
13-03-2023,1590.831177,1699.911743,1572.074707,1680.30896,,15711468959
14-03-2023,1680.295288,1779.917847,1665.902344,1703.50708,,16159781303
15-03-2023,1705.189941,1721.079224,1616.630371,1656.180542,,12715339905
16-03-2023,1656.332031,1693.139282,1639.261719,1677.215454,,9364980166
17-03-2023,1677.296753,1799.343994,1667.131836,1792.485107,,12467445117
18-03-2023,1793.592407,1840.357544,1751.262817,1761.659668,,10317822213
19-03-2023,1762.963257,1843.844116,1762.963257,1785.576538,,9170565472
20-03-2023,1785.41626,1807.72522,1728.10376,1735.321289,,10978325507
21-03-2023,1735.61792,1836.288574,1725.007324,1806.760742,,10758627746
22-03-2023,1804.957031,1821.458252,1717.765137,1737.717041,,12484103560
23-03-2023,1737.140869,1853.888062,1732.524658,1816.405151,,11012966854
24-03-2023,1815.819824,1819.935303,1730.349487,1752.0448,,10913669383
25-03-2023,1751.469482,1762.674561,1716.651978,1743.764771,,6614309912
26-03-2023,1743.842163,1797.880249,1741.182861,1775.676758,,6990313307
27-03-2023,1775.481323,1781.379272,1690.516602,1715.460815,,8585750760
28-03-2023,1715.327393,1791.110962,1702.564697,1772.785645,,8346890042
29-03-2023,1772.899902,1825.600952,1772.899902,1793.001831,,9136176952
30-03-2023,1793.345947,1827.280273,1766.248901,1792.737183,,9724496987
31-03-2023,1793.620117,1844.677368,1783.142212,1822.022095,,9149379763
01-04-2023,1821.704346,1840.173096,1811.11853,1813.860596,,5556443606
02-04-2023,1821.192139,1824.328857,1774.872437,1795.70813,,6199721188
03-04-2023,1794.922485,1839.157837,1765.518921,1810.297119,,9643826401
04-04-2023,1810.14209,1886.594604,1802.955444,1871.005127,,10398322335
05-04-2023,1870.965088,1937.497559,1865.941895,1909.114014,,10319231689
06-04-2023,1909.143555,1909.271729,1857.085083,1872.922607,,8263191830
07-04-2023,1872.734131,1882.299194,1845.993896,1865.636108,,8356130492
08-04-2023,1864.679077,1879.107788,1848.875488,1849.498169,,5016362733
09-04-2023,1849.672241,1873.057373,1828.700073,1859.387817,,6361497715
10-04-2023,1859.741211,1917.300171,1848.164185,1911.20752,,8380134275
11-04-2023,1911.375854,1936.728271,1886.53418,1892.189697,,8877222956
12-04-2023,1891.949707,1929.881226,1860.036865,1920.682129,,11010714187
13-04-2023,1917.698364,2022.150146,1901.860352,2012.634644,,12546950499
14-04-2023,2013.930664,2126.31665,2011.503296,2101.635498,,16298099411
15-04-2023,2101.616455,2111.075439,2076.510742,2092.466797,,8036468153
16-04-2023,2092.281006,2137.445068,2076.832031,2120.005859,,7898126856
17-04-2023,2120.001221,2120.113525,2063.038574,2076.24292,,9648882546
18-04-2023,2075.855225,2121.531494,2057.653809,2104.537354,,9134015143
19-04-2023,2103.946289,2104.857178,1928.582886,1936.403442,,13779745451
20-04-2023,1936.417969,1979.573364,1918.132813,1943.097656,,11324135406
21-04-2023,1943.409912,1955.64917,1827.78894,1849.999878,,12044274581
22-04-2023,1849.286499,1886.781616,1845.849243,1874.228638,,6970642726
23-04-2023,1874.171509,1882.229736,1838.992432,1862.062012,,6607451862
24-04-2023,1862.085327,1888.193726,1811.792114,1842.757446,,8438191338
25-04-2023,1842.204346,1877.484985,1805.322876,1866.753662,,8677255481
26-04-2023,1866.148926,1962.567627,1792.463867,1866.564209,,14356524696
27-04-2023,1866.693237,1936.94519,1863.147949,1908.786377,,14008145806
28-04-2023,1909.273071,1923.199219,1876.29187,1892.512817,,7691759733
29-04-2023,1892.565063,1916.973755,1887.990479,1908.916992,,4796651246
30-04-2023,1908.741333,1938.417969,1876.924316,1876.924316,,6539641957
01-05-2023,1868.891113,1886.206421,1809.193237,1831.954834,,8625783201
02-05-2023,1831.726563,1879.759521,1824.327026,1870.789307,,7536785767
03-05-2023,1870.687134,1915.50415,1845.871826,1904.651855,,8306390869
04-05-2023,1905.168945,1915.871704,1868.629761,1877.704102,,6578438233
05-05-2023,1877.83313,1998.413574,1876.946655,1995.060913,,9498261360
06-05-2023,1995.479126,2017.559448,1870.605591,1900.221802,,9623243037
07-05-2023,1899.917603,1933.998413,1873.076416,1873.076416,,6883942236
08-05-2023,1872.475098,1886.162109,1818.450562,1849.042725,,9895102899
09-05-2023,1849.061035,1860.66748,1832.906982,1848.603149,,6129516088
10-05-2023,1848.213501,1886.800293,1795.668823,1842.401489,,9945549603
11-05-2023,1842.492065,1842.492065,1774.132568,1796.490601,,8353828312
12-05-2023,1795.176636,1812.424927,1742.403809,1808.019775,,9047198660
13-05-2023,1808.375,1816.058472,1788.475586,1796.114868,,4647630864
14-05-2023,1796.10791,1823.490723,1793.22876,1800.500977,,4711210241
15-05-2023,1800.371216,1845.695435,1787.536377,1817.549927,,6748889346
16-05-2023,1816.824219,1830.351563,1797.84375,1824.12146,,5595959668
17-05-2023,1824.068359,1835.554565,1786.671997,1821.859619,,6352161579
18-05-2023,1822.068237,1831.450317,1774.195068,1801.728516,,5673124255
19-05-2023,1800.994385,1826.194214,1797.434448,1812.589478,,4796110259
20-05-2023,1812.766113,1829.009644,1808.046753,1820.478027,,2951655969
21-05-2023,1820.138062,1827.921997,1799.946899,1804.531372,,3386768865
22-05-2023,1804.841919,1826.696533,1793.223999,1817.53479,,4534841049
23-05-2023,1817.781128,1869.343994,1816.287964,1854.380615,,6820047160
24-05-2023,1854.299683,1854.299683,1780.925537,1800.099976,,7101647419
25-05-2023,1799.845215,1815.994751,1763.365112,1805.953735,,6321689859
26-05-2023,1805.725464,1837.865845,1798.406006,1828.689697,,5451414258
27-05-2023,1828.575684,1836.18457,1817.492065,1831.118286,,3216737652
28-05-2023,1831.098633,1915.723267,1825.467285,1910.914185,,6359610561
29-05-2023,1909.297485,1926.421753,1879.077515,1893.078125,,5884674572
30-05-2023,1893.09314,1916.574951,1883.934692,1901.026611,,5363439784
31-05-2023,1901.098267,1907.0354,1852.094727,1874.130493,,5984512548
01-06-2023,1873.914673,1887.705322,1846.227417,1862.201416,,5640027197
02-06-2023,1862.423706,1910.278442,1851.964722,1907.256592,,6097746022
03-06-2023,1907.420776,1908.822266,1885.485474,1892.412476,,3472274607
04-06-2023,1892.398193,1912.205688,1885.651855,1890.51355,,3747042696
05-06-2023,1890.417603,1890.640503,1780.211548,1811.828369,,9246593033
06-06-2023,1810.581421,1896.222656,1801.405273,1884.494873,,8704411776
07-06-2023,1884.372925,1893.809082,1822.303101,1832.395996,,7919894455
08-06-2023,1832.51355,1861.136108,1830.165039,1846.30188,,4536041931
09-06-2023,1846.077881,1854.824951,1828.544556,1840.22522,,4610831509
10-06-2023,1840.391968,1844.785645,1721.443115,1752.384766,,10788500406
11-06-2023,1752.527588,1776.847168,1741.110474,1753.415283,,4559112981
12-06-2023,1753.075439,1757.65979,1722.906372,1742.528687,,6031384958
13-06-2023,1742.390137,1761.955444,1727.749878,1739.037598,,6214125203
14-06-2023,1739.250122,1749.163208,1637.187744,1650.519287,,7462905534
15-06-2023,1650.498169,1676.406616,1624.138306,1665.519775,,7328564880
16-06-2023,1665.410645,1727.289551,1653.170898,1716.668823,,6281023479
17-06-2023,1716.671753,1766.763184,1714.150879,1727.204102,,4875187477
18-06-2023,1727.193726,1746.509155,1718.11145,1720.577515,,3820038842
19-06-2023,1720.505371,1745.134644,1705.813477,1737.659424,,5210480121
20-06-2023,1736.879761,1793.313965,1715.342529,1792.119995,,7171072578
21-06-2023,1791.994995,1898.668945,1788.489258,1891.007202,,11731457711
22-06-2023,1889.794434,1932.065552,1867.876587,1872.942993,,8477657143
23-06-2023,1872.540771,1932.531616,1865.192017,1892.862061,,8290615074
24-06-2023,1893.771973,1905.227417,1867.811523,1876.059692,,5026191704
25-06-2023,1875.849121,1929.079102,1870.850098,1900.506104,,6937581709
26-06-2023,1900.050293,1905.360474,1840.215088,1859.432861,,8619702292
27-06-2023,1859.346191,1911.311157,1856.838379,1889.703369,,7686042202
28-06-2023,1889.906494,1890.208984,1822.102783,1827.971191,,7135265016
29-06-2023,1828.059326,1876.530273,1828.059326,1852.227295,,5677228612
30-06-2023,1852.008423,1945.274292,1831.281006,1933.188965,,12895131248
01-07-2023,1933.323853,1942.701538,1910.848633,1924.565918,,5136809625
02-07-2023,1924.44812,1958.160767,1895.906982,1937.438354,,6343966490
03-07-2023,1937.883789,1974.775024,1934.688843,1955.38916,,7858509087
04-07-2023,1955.52417,1966.365356,1932.611328,1936.633545,,5683423776
05-07-2023,1936.796753,1942.432495,1897.124756,1910.588013,,6034088075
06-07-2023,1910.417114,1956.012329,1847.850708,1848.636475,,8905008384
07-07-2023,1847.512573,1876.963257,1832.025391,1870.602539,,6468885150
08-07-2023,1871.002075,1872.501587,1844.641724,1865.539551,,4299007854
09-07-2023,1865.594971,1878.668945,1857.748291,1863.009766,,4392863807
10-07-2023,1863.240234,1905.460815,1848.777222,1880.556396,,6336468234
11-07-2023,1880.654907,1889.381714,1863.218628,1878.33606,,4905225892
12-07-2023,1878.322021,1901.148438,1865.710083,1872.11377,,6379007000
13-07-2023,1872.040283,2011.885254,1864.496094,2006.511475,,11114853969
14-07-2023,2005.686157,2026.204956,1901.361206,1939.347046,,10627449471
15-07-2023,1939.129639,1946.019165,1928.187378,1931.466553,,4380084234
16-07-2023,1931.64502,1942.030884,1917.294067,1923.681885,,4329306566
17-07-2023,1923.694336,1936.177612,1875.120361,1911.646118,,6678090758
18-07-2023,1911.697021,1916.468384,1878.718506,1897.599243,,5814708445
19-07-2023,1897.797241,1919.264404,1883.067139,1889.007935,,6018487800
20-07-2023,1889.07373,1919.264404,1879.734375,1890.969116,,7366830684
21-07-2023,1891.581299,1905.38623,1885.296265,1892.080078,,4668158260
22-07-2023,1891.955078,1897.088013,1855.092773,1864.912354,,4101305643
23-07-2023,1866.094238,1904.483276,1859.568848,1889.19165,,4480604100
24-07-2023,1888.80957,1889.761963,1836.852417,1850.002075,,6344373569
25-07-2023,1850.027954,1867.323242,1845.981567,1857.741943,,4163381707
26-07-2023,1857.696533,1886.974121,1849.43689,1872.159912,,5781548155
27-07-2023,1872.086304,1885.591553,1855.321533,1860.357178,,4291339248
28-07-2023,1860.702515,1881.457275,1857.04895,1874.744873,,3800973336
29-07-2023,1874.560425,1885.529297,1870.333862,1881.068848,,2497302218
30-07-2023,1880.871582,1884.144165,1851.728027,1861.643799,,4003005547
31-07-2023,1861.755249,1875.629395,1851.915405,1856.162354,,4391613314
01-08-2023,1856.190186,1873.029907,1817.920776,1871.792114,,7634860636
02-08-2023,1873.46814,1877.511475,1822.348267,1839.089722,,6448512422
03-08-2023,1838.897949,1856.407593,1825.347778,1835.136475,,4710581074
04-08-2023,1834.890503,1847.912231,1817.413818,1827.712891,,4861242484
05-08-2023,1827.798584,1836.464844,1824.807983,1834.987915,,2866049749
06-08-2023,1834.845215,1836.248901,1824.986694,1827.462036,,2963395076
07-08-2023,1827.239502,1842.522583,1804.716675,1826.938843,,5837881974
08-08-2023,1826.93103,1873.847168,1824.430054,1855.807373,,5812855406
09-08-2023,1855.779419,1869.736572,1845.489746,1854.297607,,5870081833
10-08-2023,1854.348267,1863.310913,1845.442261,1850.753418,,3760304518
11-08-2023,1850.741699,1855.06604,1839.569214,1847.12439,,3353025102
12-08-2023,1847.171997,1852.281006,1845.719238,1848.889893,,2291124840
13-08-2023,1849.053833,1859.916382,1834.804321,1839.280151,,3054625661
14-08-2023,1839.323486,1853.836304,1834.800415,1844.185791,,4083364724
15-08-2023,1844.164185,1845.547607,1816.325073,1826.932739,,4483923893
16-08-2023,1827.036377,1829.361206,1798.966675,1805.659058,,4976573383
17-08-2023,1805.567383,1807.714844,1551.713257,1684.933472,,14208462072
18-08-2023,1682.038452,1698.124268,1644.930908,1660.945068,,9645084584
19-08-2023,1660.84436,1693.228149,1654.075806,1669.471924,,4871231360
20-08-2023,1669.587769,1692.328735,1662.901489,1684.852051,,4105056995
21-08-2023,1685.022339,1685.082642,1651.959839,1667.269043,,5077248383
22-08-2023,1667.279297,1668.638672,1596.384033,1633.892578,,7244623133
23-08-2023,1634.401733,1696.593994,1629.581055,1679.274414,,7191868448
24-08-2023,1679.248291,1682.489746,1641.627075,1659.94458,,5104531920
25-08-2023,1660.269897,1671.970703,1635.967407,1652.935059,,5396997823
26-08-2023,1652.927246,1654.77771,1643.712646,1646.306763,,2423247747
27-08-2023,1646.271973,1659.26709,1645.902832,1657.513062,,2624065031
28-08-2023,1657.439819,1659.328735,1627.446777,1652.457397,,4855588534
29-08-2023,1652.27417,1742.637329,1639.576172,1729.725708,,11304916729
30-08-2023,1729.676636,1730.564697,1697.147217,1705.112183,,5023904190
31-08-2023,1705.364502,1720.011963,1634.850952,1645.63916,,6593153505
01-09-2023,1645.581299,1653.531738,1603.03418,1628.491211,,6104510092
02-09-2023,1628.559692,1644.03064,1627.976074,1637.025391,,2943590996
